Node,Demand,Selection,total demand,demand fulfilled
0,1156,0,0,18971
1,1259,0,0,
2,1419,0,0,
3,1324,0,0,
4,1431,0,0,
5,1432,0,0,
6,1946,0,0,
7,1893,0,0,
8,1792,0,0,
9,1246,0,0,
10,1402,0,0,
11,2390,0,0,
12,1880,0,0,
13,1214,0,0,
14,1361,0,0,
15,1376,0,0,
16,1433,0,0,
17,1454,0,0,
18,1664,0,0,
19,1464,0,0,
20,1305,0,0,
21,1498,0,0,
22,1099,0,0,
23,1156,0,0,
24,1316,0,0,
25,1327,0,0,
26,1328,0,0,
27,1842,0,0,
28,1789,0,0,
29,2408,0,0,
30,1898,0,0,
31,1434,0,0,
32,1254,0,0,
33,1269,0,0,
34,1326,0,0,
35,1347,0,0,
36,1682,0,0,
37,1482,0,0,
38,1833,0,0,
39,2338,1,2338,
40,1392,0,0,
41,2362,0,0,
42,1225,0,0,
43,1739,0,0,
44,2304,0,0,
45,1794,0,0,
46,1449,0,0,
47,1220,0,0,
48,1241,0,0,
49,1576,0,0,
50,1376,0,0,
51,1846,0,0,
52,2351,0,0,
53,2374,0,0,
54,2453,0,0,
55,1440,0,0,
56,1833,0,0,
57,2338,0,0,
58,2542,0,0,
59,2362,0,0,
60,2269,0,0,
61,1759,0,0,
62,1414,0,0,
63,1359,0,0,
64,1486,0,0,
65,1338,0,0,
66,1564,0,0,
67,1413,0,0,
68,1588,0,0,
69,1545,0,0,
70,1345,0,0,
71,1815,0,0,
72,2320,0,0,
73,2343,0,0,
74,1394,0,0,
75,2326,0,0,
76,924,0,0,
77,1048,0,0,
78,1015,0,0,
79,1071,0,0,
80,1198,0,0,
81,1050,0,0,
82,1170,0,0,
83,1277,0,0,
84,1121,0,0,
85,1127,0,0,
86,1230,0,0,
87,1332,0,0,
88,1181,0,0,
89,1132,0,0,
90,1467,0,0,
91,1072,0,0,
92,986,0,0,
93,929,0,0,
94,1077,0,0,
95,1002,0,0,
96,1177,0,0,
97,1279,0,0,
98,1056,0,0,
99,1095,0,0,
100,1197,0,0,
101,1112,0,0,
102,1081,0,0,
103,1192,0,0,
104,1096,0,0,
105,1151,0,0,
106,1075,0,0,
107,2013,0,0,
108,1753,0,0,
109,1398,0,0,
110,1293,0,0,
111,1321,0,0,
112,1133,0,0,
113,1210,0,0,
114,1545,0,0,
115,1845,0,0,
116,1242,0,0,
117,1512,0,0,
118,1289,0,0,
119,1100,0,0,
120,1227,0,0,
121,1849,0,0,
122,1274,0,0,
123,1373,0,0,
124,1306,0,0,
125,1207,0,0,
126,1324,0,0,
127,1985,0,0,
128,1860,0,0,
129,1285,0,0,
130,1384,0,0,
131,1526,0,0,
132,1431,0,0,
133,1158,0,0,
134,1590,0,0,
135,987,0,0,
136,1212,0,0,
137,1263,0,0,
138,1068,0,0,
139,1191,0,0,
140,1242,1,1242,
141,1248,0,0,
142,1477,0,0,
143,1588,0,0,
144,1644,0,0,
145,2041,0,0,
146,2180,0,0,
147,2149,0,0,
148,1889,0,0,
149,1534,0,0,
150,1429,0,0,
151,1609,0,0,
152,1444,0,0,
153,1490,0,0,
154,1347,0,0,
155,1682,0,0,
156,1526,0,0,
157,1573,0,0,
158,1339,0,0,
159,1395,0,0,
160,2056,0,0,
161,1931,0,0,
162,1900,0,0,
163,1284,0,0,
164,1358,0,0,
165,1457,0,0,
166,1689,0,0,
167,1504,0,0,
168,1431,0,0,
169,1246,0,0,
170,1302,0,0,
171,1734,0,0,
172,1609,0,0,
173,1034,0,0,
174,1133,0,0,
175,1358,0,0,
176,1409,0,0,
177,1214,0,0,
178,1086,0,0,
179,1133,0,0,
180,1214,0,0,
181,1325,0,0,
182,1381,0,0,
183,1813,0,0,
184,1688,0,0,
185,1657,0,0,
186,1041,0,0,
187,1115,0,0,
188,1214,0,0,
189,1372,0,0,
190,1423,1,1423,
191,1188,0,0,
192,1296,0,0,
193,1091,0,0,
194,1169,0,0,
195,1216,0,0,
196,1422,0,0,
197,1533,0,0,
198,1589,0,0,
199,2021,0,0,
200,1896,0,0,
201,1865,0,0,
202,1728,0,0,
203,1827,0,0,
204,2052,0,0,
205,1599,0,0,
206,1502,0,0,
207,1297,0,0,
208,1375,0,0,
209,1422,0,0,
210,1366,0,0,
211,1421,0,0,
212,1853,0,0,
213,1880,0,0,
214,1525,0,0,
215,1330,0,0,
216,1454,0,0,
217,1510,0,0,
218,1942,0,0,
219,1817,0,0,
220,1746,0,0,
221,1971,0,0,
222,1616,0,0,
223,1421,0,0,
224,1293,0,0,
225,1340,0,0,
226,1484,0,0,
227,1360,0,0,
228,1389,0,0,
229,1646,0,0,
230,1522,0,0,
231,1552,0,0,
232,1659,0,0,
233,1535,0,0,
234,1661,0,0,
235,1537,0,0,
236,1419,0,0,
237,2177,0,0,
238,2053,0,0,
239,1935,0,0,
240,2126,0,0,
241,2002,0,0,
242,2026,0,0,
243,1480,0,0,
244,1636,0,0,
245,2644,0,0,
246,1775,0,0,
247,1877,0,0,
248,2117,0,0,
249,2462,0,0,
250,2190,0,0,
251,2630,0,0,
252,2512,0,0,
253,2462,0,0,
254,1727,0,0,
255,2195,0,0,
256,2124,0,0,
257,2006,0,0,
258,1956,0,0,
259,1107,0,0,
260,1222,0,0,
261,1706,0,0,
262,1665,0,0,
263,1648,0,0,
264,1616,0,0,
265,1236,0,0,
266,1102,0,0,
267,1278,0,0,
268,1375,0,0,
269,1308,0,0,
270,1469,0,0,
271,1170,0,0,
272,1473,0,0,
273,1252,0,0,
274,1609,0,0,
275,1309,0,0,
276,1502,0,0,
277,1214,0,0,
278,1367,0,0,
279,1724,0,0,
280,1461,0,0,
281,1358,0,0,
282,1426,0,0,
283,1619,0,0,
284,1522,0,0,
285,1762,0,0,
286,1493,0,0,
287,1271,0,0,
288,1584,0,0,
289,1281,0,0,
290,1434,0,0,
291,1272,0,0,
292,1490,0,0,
293,1318,0,0,
294,1794,0,0,
295,1531,0,0,
296,1428,0,0,
297,1496,0,0,
298,1689,0,0,
299,1509,0,0,
300,1593,0,0,
301,1830,0,0,
302,1209,0,0,
303,1714,0,0,
304,1918,0,0,
305,1738,0,0,
306,1568,0,0,
307,1466,0,0,
308,1347,0,0,
309,1229,0,0,
310,1732,0,0,
311,1429,0,0,
312,1295,0,0,
313,1457,0,0,
314,2044,0,0,
315,1422,0,0,
316,2174,0,0,
317,1773,0,0,
318,2352,0,0,
319,2215,0,0,
